Device,Temperature,Speed,Distance,Pressure,Efficiency
0,57,138,4,1,0.0
1,56,150,5,4,0.0
2,51,118,4,6,0.0
3,56,101,5,10,0.0
4,52,113,6,1,0.0
5,50,115,6,3,0.0
6,59,113,7,7,0.0
7,57,122,6,8,0.0
8,51,145,7,0,0.0
9,53,136,8,4,0.0
10,60,117,7,5,0.0
11,60,112,8,9,0.0
12,55,100,9,2,0.0
13,54,123,10,3,0.0
14,58,138,10,6,0.0
15,52,109,10,10,0.0
16,59,170,4,1,0.0
17,52,165,5,3,0.0
18,59,179,5,7,0.0
19,50,160,5,8,0.0
20,53,187,6,0,0.0
21,58,154,6,3,0.0
22,50,157,7,7,0.0
23,58,191,6,9,0.0
24,57,188,7,0,0.0
25,52,171,7,4,0.0
26,60,175,8,6,0.0
27,58,159,8,9,0.0
28,57,194,10,2,0.0
29,53,191,9,4,0.0
30,59,164,10,5,0.0
31,57,150,9,9,0.0
32,58,237,5,0,0.0
33,55,230,5,4,0.0
34,54,232,5,6,0.0
35,54,225,5,8,0.0
36,50,217,7,1,0.0
37,50,207,7,4,0.0
38,52,237,6,5,0.0
39,50,214,7,9,0.0
40,50,246,7,0,0.0
41,51,206,7,5,0.0
42,58,215,8,7,0.0
43,59,208,7,9,0.0
44,55,217,9,1,0.0
45,58,217,9,4,0.0
46,57,220,9,7,0.0
47,54,239,9,10,0.0
48,57,257,4,2,0.0
49,51,276,5,3,0.0
50,58,292,4,5,0.0
51,57,292,5,10,0.0
52,57,275,6,2,0.0
53,56,294,7,5,0.0
54,52,253,6,7,0.0
55,51,260,7,9,0.0
56,50,277,8,1,0.0
57,59,293,7,3,0.0
58,59,253,8,7,0.0
59,57,261,8,10,0.0
60,50,297,9,0,0.0
61,58,300,9,3,0.0
62,57,270,9,7,0.0
63,50,259,9,8,0.0
64,63,114,5,1,0.0
65,61,117,4,4,0.0
66,68,139,6,8,0.0
67,69,122,5,8,0.0
68,67,144,6,2,0.0
69,60,104,7,3,0.0
70,60,146,6,6,0.0
71,63,105,7,9,0.0
72,62,118,8,1,0.0
73,65,146,8,5,0.0
74,64,102,8,6,0.0
75,67,121,8,9,0.0
76,62,128,10,1,0.0
77,69,139,9,3,0.0
78,66,119,10,6,0.0
79,69,129,9,8,0.0
80,66,171,5,1,0.0
81,68,170,4,5,0.0
82,68,185,5,7,0.0
83,62,186,5,9,0.0
84,65,172,6,2,0.0
85,66,168,6,3,0.0
86,70,195,6,7,0.0
87,66,162,6,8,0.0
88,60,176,7,1,0.0
89,61,186,8,3,0.0
90,64,166,8,6,0.0
91,60,160,8,8,0.0
92,69,162,9,0,0.0
93,70,168,10,3,0.0
94,60,154,9,6,0.0
95,66,183,9,10,0.0
96,65,205,5,2,0.0
97,69,236,5,3,0.0
98,69,227,5,5,0.0
99,67,239,4,9,0.0
100,70,219,6,0,0.0
101,68,227,6,4,0.0
102,66,234,6,6,0.0
103,66,226,7,10,0.0
104,69,230,7,2,0.0
105,62,237,7,3,0.0
106,63,245,7,6,0.0
107,68,246,8,9,0.0
108,66,250,9,1,0.0
109,61,240,9,4,0.0
110,65,215,9,5,0.0
111,67,250,9,8,0.0
112,68,268,4,0,0.0
113,64,285,4,4,0.0
114,66,292,4,6,0.0
115,66,298,5,9,0.0
116,63,276,6,2,0.0
117,61,261,6,4,0.0
118,65,272,6,5,0.0
119,65,278,7,9,0.0
120,65,251,8,2,0.0
121,67,291,7,3,0.0
122,68,279,7,5,0.0
123,62,280,8,9,0.0
124,62,288,9,2,0.0
125,67,275,9,3,0.0
126,65,283,9,5,0.0
127,61,297,10,9,0.0
128,76,144,5,1,0.0
129,78,100,5,4,0.0
130,72,105,5,7,0.0
131,78,146,5,8,0.0
132,74,142,7,0,0.0
133,79,129,6,5,0.0
134,76,142,6,6,0.0
135,80,111,7,8,0.0
136,75,150,7,0,0.0
137,74,104,8,3,0.0
138,70,144,8,5,0.0
139,78,139,7,8,0.0
140,75,117,10,1,0.0
141,70,135,9,4,0.0
142,75,146,9,7,0.0
143,73,136,9,9,0.0
144,72,156,5,1,0.0
145,72,180,5,5,0.0
146,70,199,5,6,0.0
147,76,198,5,10,0.0
148,79,163,7,2,0.0
