Trial,Temperature,Speed,Distance,Pressure,Efficiency
0,50.0,125.0,5.0,0.0,0.0
1,50.0,125.0,5.0,1.0,0.0
2,50.0,125.0,5.0,2.0,0.0
3,50.0,125.0,5.0,3.0,0.0
4,50.0,125.0,5.0,4.0,0.0
5,50.0,125.0,5.0,5.0,0.0
6,50.0,125.0,5.0,6.0,0.0
7,50.0,125.0,5.0,7.0,0.0
8,50.0,125.0,5.0,8.0,0.0
9,50.0,125.0,5.0,9.0,0.0
10,50.0,125.0,5.0,10.0,0.0
11,55.0,125.0,5.0,0.0,0.0
12,55.0,125.0,5.0,1.0,0.0
13,55.0,125.0,5.0,2.0,0.0
14,55.0,125.0,5.0,3.0,0.0
15,55.0,125.0,5.0,4.0,0.0
16,55.0,125.0,5.0,5.0,0.0
17,55.0,125.0,5.0,6.0,0.0
18,55.0,125.0,5.0,7.0,0.0
19,55.0,125.0,5.0,8.0,0.0
20,55.0,125.0,5.0,9.0,0.0
21,55.0,125.0,5.0,10.0,0.0
22,60.0,125.0,5.0,0.0,0.0
23,60.0,125.0,5.0,1.0,0.0
24,60.0,125.0,5.0,2.0,0.0
25,60.0,125.0,5.0,3.0,0.0
26,60.0,125.0,5.0,4.0,0.0
27,60.0,125.0,5.0,5.0,0.0
28,60.0,125.0,5.0,6.0,0.0
29,60.0,125.0,5.0,7.0,0.0
30,60.0,125.0,5.0,8.0,0.0
31,60.0,125.0,5.0,9.0,0.0
32,60.0,125.0,5.0,10.0,0.0
33,65.0,125.0,5.0,0.0,0.0
34,65.0,125.0,5.0,1.0,0.0
35,65.0,125.0,5.0,2.0,0.0
36,65.0,125.0,5.0,3.0,0.0
37,65.0,125.0,5.0,4.0,0.0
38,65.0,125.0,5.0,5.0,0.0
39,65.0,125.0,5.0,6.0,0.0
40,65.0,125.0,5.0,7.0,0.0
41,65.0,125.0,5.0,8.0,0.0
42,65.0,125.0,5.0,9.0,0.0
43,65.0,125.0,5.0,10.0,0.0
44,70.0,125.0,5.0,0.0,0.0
45,70.0,125.0,5.0,1.0,0.0
46,70.0,125.0,5.0,2.0,0.0
47,70.0,125.0,5.0,3.0,0.0
48,70.0,125.0,5.0,4.0,0.0
49,70.0,125.0,5.0,5.0,0.0
50,70.0,125.0,5.0,6.0,0.0
51,70.0,125.0,5.0,7.0,0.0
52,70.0,125.0,5.0,8.0,0.0
53,70.0,125.0,5.0,9.0,0.0
54,70.0,125.0,5.0,10.0,0.0
55,75.0,125.0,5.0,0.0,0.0
56,75.0,125.0,5.0,1.0,0.0
57,75.0,125.0,5.0,2.0,0.0
58,75.0,125.0,5.0,3.0,0.0
59,75.0,125.0,5.0,4.0,0.0
60,75.0,125.0,5.0,5.0,0.0
61,75.0,125.0,5.0,6.0,0.0
62,75.0,125.0,5.0,7.0,0.0
63,75.0,125.0,5.0,8.0,0.0
64,75.0,125.0,5.0,9.0,0.0
65,75.0,125.0,5.0,10.0,0.0
66,80.0,125.0,5.0,0.0,0.0
67,80.0,125.0,5.0,1.0,0.0
68,80.0,125.0,5.0,2.0,0.0
69,80.0,125.0,5.0,3.0,0.0
70,80.0,125.0,5.0,4.0,0.0
71,80.0,125.0,5.0,5.0,0.0
72,80.0,125.0,5.0,6.0,0.0
73,80.0,125.0,5.0,7.0,0.0
74,80.0,125.0,5.0,8.0,0.0
75,80.0,125.0,5.0,9.0,0.0
76,80.0,125.0,5.0,10.0,0.0
77,50.0,130.0,5.0,0.0,0.0
78,50.0,130.0,5.0,1.0,0.0
79,50.0,130.0,5.0,2.0,0.0
80,50.0,130.0,5.0,3.0,0.0
81,50.0,130.0,5.0,4.0,0.0
82,50.0,130.0,5.0,5.0,0.0
83,50.0,130.0,5.0,6.0,0.0
84,50.0,130.0,5.0,7.0,0.0
85,50.0,130.0,5.0,8.0,0.0
86,50.0,130.0,5.0,9.0,0.0
87,50.0,130.0,5.0,10.0,0.0
88,55.0,130.0,5.0,0.0,0.0
89,55.0,130.0,5.0,1.0,0.0
90,55.0,130.0,5.0,2.0,0.0
91,55.0,130.0,5.0,3.0,0.0
92,55.0,130.0,5.0,4.0,0.0
93,55.0,130.0,5.0,5.0,0.0
94,55.0,130.0,5.0,6.0,0.0
95,55.0,130.0,5.0,7.0,0.0
96,55.0,130.0,5.0,8.0,0.0
97,55.0,130.0,5.0,9.0,0.0
98,55.0,130.0,5.0,10.0,0.0
99,60.0,130.0,5.0,0.0,0.0
100,60.0,130.0,5.0,1.0,0.0
101,60.0,130.0,5.0,2.0,0.0
102,60.0,130.0,5.0,3.0,0.0
103,60.0,130.0,5.0,4.0,0.0
104,60.0,130.0,5.0,5.0,0.0
105,60.0,130.0,5.0,6.0,0.0
106,60.0,130.0,5.0,7.0,0.0
107,60.0,130.0,5.0,8.0,0.0
108,60.0,130.0,5.0,9.0,0.0
109,60.0,130.0,5.0,10.0,0.0
110,65.0,130.0,5.0,0.0,0.0
111,65.0,130.0,5.0,1.0,0.0
112,65.0,130.0,5.0,2.0,0.0
113,65.0,130.0,5.0,3.0,0.0
114,65.0,130.0,5.0,4.0,0.0
115,65.0,130.0,5.0,5.0,0.0
116,65.0,130.0,5.0,6.0,0.0
117,65.0,130.0,5.0,7.0,0.0
118,65.0,130.0,5.0,8.0,0.0
119,65.0,130.0,5.0,9.0,0.0
120,65.0,130.0,5.0,10.0,0.0
121,70.0,130.0,5.0,0.0,0.0
122,70.0,130.0,5.0,1.0,0.0
123,70.0,130.0,5.0,2.0,0.0
124,70.0,130.0,5.0,3.0,0.0
125,70.0,130.0,5.0,4.0,0.0
126,70.0,130.0,5.0,5.0,0.0
127,70.0,130.0,5.0,6.0,0.0
128,70.0,130.0,5.0,7.0,0.0
129,70.0,130.0,5.0,8.0,0.0
130,70.0,130.0,5.0,9.0,0.0
131,70.0,130.0,5.0,10.0,0.0
132,75.0,130.0,5.0,0.0,0.0
133,75.0,130.0,5.0,1.0,0.0
134,75.0,130.0,5.0,2.0,0.0
135,75.0,130.0,5.0,3.0,0.0
136,75.0,130.0,5.0,4.0,0.0
137,75.0,130.0,5.0,5.0,0.0
138,75.0,130.0,5.0,6.0,0.0
139,75.0,130.0,5.0,7.0,0.0
140,75.0,130.0,5.0,8.0,0.0
141,75.0,130.0,5.0,9.0,0.0
142,75.0,130.0,5.0,10.0,0.0
143,80.0,130.0,5.0,0.0,0.0
144,80.0,130.0,5.0,1.0,0.0
145,80.0,130.0,5.0,2.0,0.0
146,80.0,130.0,5.0,3.0,0.0
147,80.0,130.0,5.0,4.0,0.0
148,80.0,130.0,5.0,5.0,0.0
149,80.0,130.0,5.0,6.0,0.0
150,80.0,130.0,5.0,7.0,0.0
151,80.0,130.0,5.0,8.0,0.0
152,80.0,130.0,5.0,9.0,0.0
153,80.0,130.0,5.0,10.0,0.0
154,50.0,135.0,5.0,0.0,0.0
155,50.0,135.0,5.0,1.0,0.0
156,50.0,135.0,5.0,2.0,0.0
157,50.0,135.0,5.0,3.0,0.0
158,50.0,135.0,5.0,4.0,0.0
159,50.0,135.0,5.0,5.0,0.0
160,50.0,135.0,5.0,6.0,0.0
161,50.0,135.0,5.0,7.0,0.0
162,50.0,135.0,5.0,8.0,0.0
163,50.0,135.0,5.0,9.0,0.0
164,50.0,135.0,5.0,10.0,0.0
165,55.0,135.0,5.0,0.0,0.0
166,55.0,135.0,5.0,1.0,0.0
167,55.0,135.0,5.0,2.0,0.0
168,55.0,135.0,5.0,3.0,0.0
169,55.0,135.0,5.0,4.0,0.0
170,55.0,135.0,5.0,5.0,0.0
171,55.0,135.0,5.0,6.0,0.0
172,55.0,135.0,5.0,7.0,0.0
173,55.0,135.0,5.0,8.0,0.0
174,55.0,135.0,5.0,9.0,0.0
175,55.0,135.0,5.0,10.0,0.0
176,60.0,135.0,5.0,0.0,0.0
177,60.0,135.0,5.0,1.0,0.0
178,60.0,135.0,5.0,2.0,0.0
179,60.0,135.0,5.0,3.0,0.0
180,60.0,135.0,5.0,4.0,0.0
181,60.0,135.0,5.0,5.0,0.0
182,60.0,135.0,5.0,6.0,0.0
183,60.0,135.0,5.0,7.0,0.0
184,60.0,135.0,5.0,8.0,0.0
185,60.0,135.0,5.0,9.0,0.0
186,60.0,135.0,5.0,10.0,0.0
187,65.0,135.0,5.0,0.0,0.0
188,65.0,135.0,5.0,1.0,0.0
189,65.0,135.0,5.0,2.0,0.0
190,65.0,135.0,5.0,3.0,0.0
191,65.0,135.0,5.0,4.0,0.0
192,65.0,135.0,5.0,5.0,0.0
193,65.0,135.0,5.0,6.0,0.0
194,65.0,135.0,5.0,7.0,0.0
195,65.0,135.0,5.0,8.0,0.0
196,65.0,135.0,5.0,9.0,0.0
197,65.0,135.0,5.0,10.0,0.0
198,70.0,135.0,5.0,0.0,0.0
199,70.0,135.0,5.0,1.0,0.0
200,70.0,135.0,5.0,2.0,0.0
201,70.0,135.0,5.0,3.0,0.0
202,70.0,135.0,5.0,4.0,0.0
203,70.0,135.0,5.0,5.0,0.0
204,70.0,135.0,5.0,6.0,0.0
205,70.0,135.0,5.0,7.0,0.0
206,70.0,135.0,5.0,8.0,0.0
207,70.0,135.0,5.0,9.0,0.0
208,70.0,135.0,5.0,10.0,0.0
209,75.0,135.0,5.0,0.0,0.0
210,75.0,135.0,5.0,1.0,0.0
211,75.0,135.0,5.0,2.0,0.0
212,75.0,135.0,5.0,3.0,0.0
213,75.0,135.0,5.0,4.0,0.0
214,75.0,135.0,5.0,5.0,0.0
215,75.0,135.0,5.0,6.0,0.0
216,75.0,135.0,5.0,7.0,0.0
217,75.0,135.0,5.0,8.0,0.0
218,75.0,135.0,5.0,9.0,0.0
219,75.0,135.0,5.0,10.0,0.0
220,80.0,135.0,5.0,0.0,0.0
221,80.0,135.0,5.0,1.0,0.0
222,80.0,135.0,5.0,2.0,0.0
223,80.0,135.0,5.0,3.0,0.0
224,80.0,135.0,5.0,4.0,0.0
225,80.0,135.0,5.0,5.0,0.0
226,80.0,135.0,5.0,6.0,0.0
227,80.0,135.0,5.0,7.0,0.0
228,80.0,135.0,5.0,8.0,0.0
229,80.0,135.0,5.0,9.0,0.0
230,80.0,135.0,5.0,10.0,0.0
231,50.0,140.0,5.0,0.0,0.0
232,50.0,140.0,5.0,1.0,0.0
233,50.0,140.0,5.0,2.0,0.0
234,50.0,140.0,5.0,3.0,0.0
235,50.0,140.0,5.0,4.0,0.0
236,50.0,140.0,5.0,5.0,0.0
237,50.0,140.0,5.0,6.0,0.0
238,50.0,140.0,5.0,7.0,0.0
239,50.0,140.0,5.0,8.0,0.0
240,50.0,140.0,5.0,9.0,0.0
241,50.0,140.0,5.0,10.0,0.0
242,55.0,140.0,5.0,0.0,0.0
243,55.0,140.0,5.0,1.0,0.0
244,55.0,140.0,5.0,2.0,0.0
245,55.0,140.0,5.0,3.0,0.0
246,55.0,140.0,5.0,4.0,0.0
247,55.0,140.0,5.0,5.0,0.0
248,55.0,140.0,5.0,6.0,0.0
249,55.0,140.0,5.0,7.0,0.0
250,55.0,140.0,5.0,8.0,0.0
251,55.0,140.0,5.0,9.0,0.0
252,55.0,140.0,5.0,10.0,0.0
253,60.0,140.0,5.0,0.0,0.0
254,60.0,140.0,5.0,1.0,0.0
255,60.0,140.0,5.0,2.0,0.0
256,60.0,140.0,5.0,3.0,0.0
257,60.0,140.0,5.0,4.0,0.0
258,60.0,140.0,5.0,5.0,0.0
259,60.0,140.0,5.0,6.0,0.0
260,60.0,140.0,5.0,7.0,0.0
261,60.0,140.0,5.0,8.0,0.0
262,60.0,140.0,5.0,9.0,0.0
263,60.0,140.0,5.0,10.0,0.0
264,65.0,140.0,5.0,0.0,0.0
265,65.0,140.0,5.0,1.0,0.0
266,65.0,140.0,5.0,2.0,0.0
267,65.0,140.0,5.0,3.0,0.0
268,65.0,140.0,5.0,4.0,0.0
269,65.0,140.0,5.0,5.0,0.0
270,65.0,140.0,5.0,6.0,0.0
271,65.0,140.0,5.0,7.0,0.0
272,65.0,140.0,5.0,8.0,0.0
273,65.0,140.0,5.0,9.0,0.0
274,65.0,140.0,5.0,10.0,0.0
275,70.0,140.0,5.0,0.0,0.0
276,70.0,140.0,5.0,1.0,0.0
277,70.0,140.0,5.0,2.0,0.0
278,70.0,140.0,5.0,3.0,0.0
279,70.0,140.0,5.0,4.0,0.0
280,70.0,140.0,5.0,5.0,0.0
281,70.0,140.0,5.0,6.0,0.0
282,70.0,140.0,5.0,7.0,0.0
283,70.0,140.0,5.0,8.0,0.0
284,70.0,140.0,5.0,9.0,0.0
285,70.0,140.0,5.0,10.0,0.0
286,75.0,140.0,5.0,0.0,0.0
287,75.0,140.0,5.0,1.0,0.0
288,75.0,140.0,5.0,2.0,0.0
289,75.0,140.0,5.0,3.0,0.0
290,75.0,140.0,5.0,4.0,0.0
291,75.0,140.0,5.0,5.0,0.0
292,75.0,140.0,5.0,6.0,0.0
293,75.0,140.0,5.0,7.0,0.0
294,75.0,140.0,5.0,8.0,0.0
295,75.0,140.0,5.0,9.0,0.0
296,75.0,140.0,5.0,10.0,0.0
297,80.0,140.0,5.0,0.0,0.0
298,80.0,140.0,5.0,1.0,0.0
299,80.0,140.0,5.0,2.0,0.0
300,80.0,140.0,5.0,3.0,0.0
301,80.0,140.0,5.0,4.0,0.0
302,80.0,140.0,5.0,5.0,0.0
303,80.0,140.0,5.0,6.0,0.0
304,80.0,140.0,5.0,7.0,0.0
305,80.0,140.0,5.0,8.0,0.0
306,80.0,140.0,5.0,9.0,0.0
307,80.0,140.0,5.0,10.0,0.0
308,50.0,145.0,5.0,0.0,0.0
309,50.0,145.0,5.0,1.0,0.0
310,50.0,145.0,5.0,2.0,0.0
311,50.0,145.0,5.0,3.0,0.0
312,50.0,145.0,5.0,4.0,0.0
313,50.0,145.0,5.0,5.0,0.0
314,50.0,145.0,5.0,6.0,0.0
315,50.0,145.0,5.0,7.0,0.0
316,50.0,145.0,5.0,8.0,0.0
317,50.0,145.0,5.0,9.0,0.0
318,50.0,145.0,5.0,10.0,0.0
319,55.0,145.0,5.0,0.0,0.0
320,55.0,145.0,5.0,1.0,0.0
321,55.0,145.0,5.0,2.0,0.0
322,55.0,145.0,5.0,3.0,0.0
323,55.0,145.0,5.0,4.0,0.0
324,55.0,145.0,5.0,5.0,0.0
325,55.0,145.0,5.0,6.0,0.0
326,55.0,145.0,5.0,7.0,0.0
327,55.0,145.0,5.0,8.0,0.0
328,55.0,145.0,5.0,9.0,0.0
329,55.0,145.0,5.0,10.0,0.0
330,60.0,145.0,5.0,0.0,0.0
331,60.0,145.0,5.0,1.0,0.0
332,60.0,145.0,5.0,2.0,0.0
333,60.0,145.0,5.0,3.0,0.0
334,60.0,145.0,5.0,4.0,0.0
335,60.0,145.0,5.0,5.0,0.0
336,60.0,145.0,5.0,6.0,0.0
337,60.0,145.0,5.0,7.0,0.0
338,60.0,145.0,5.0,8.0,0.0
339,60.0,145.0,5.0,9.0,0.0
340,60.0,145.0,5.0,10.0,0.0
341,65.0,145.0,5.0,0.0,0.0
342,65.0,145.0,5.0,1.0,0.0
343,65.0,145.0,5.0,2.0,0.0
344,65.0,145.0,5.0,3.0,0.0
345,65.0,145.0,5.0,4.0,0.0
346,65.0,145.0,5.0,5.0,0.0
347,65.0,145.0,5.0,6.0,0.0
348,65.0,145.0,5.0,7.0,0.0
349,65.0,145.0,5.0,8.0,0.0
350,65.0,145.0,5.0,9.0,0.0
351,65.0,145.0,5.0,10.0,0.0
352,70.0,145.0,5.0,0.0,0.0
353,70.0,145.0,5.0,1.0,0.0
354,70.0,145.0,5.0,2.0,0.0
355,70.0,145.0,5.0,3.0,0.0
356,70.0,145.0,5.0,4.0,0.0
357,70.0,145.0,5.0,5.0,0.0
358,70.0,145.0,5.0,6.0,0.0
359,70.0,145.0,5.0,7.0,0.0
360,70.0,145.0,5.0,8.0,0.0
361,70.0,145.0,5.0,9.0,0.0
362,70.0,145.0,5.0,10.0,0.0
363,75.0,145.0,5.0,0.0,0.0
364,75.0,145.0,5.0,1.0,0.0
365,75.0,145.0,5.0,2.0,0.0
366,75.0,145.0,5.0,3.0,0.0
367,75.0,145.0,5.0,4.0,0.0
368,75.0,145.0,5.0,5.0,0.0
