Trial,Temperature,Speed,Distance,Pressure,Efficiency
0,0,55,140,5,1,0.0
1,1,50,145,5,3,0.0
2,2,50,145,5,8,0.0
3,3,55,140,5,9,0.0
4,4,55,135,6,0,0.0
5,5,50,135,6,3,0.0
6,6,55,130,6,7,0.0
7,7,55,135,6,9,0.0
8,8,50,125,7,2,0.0
9,9,50,140,7,4,0.0
10,10,50,125,7,7,0.0
11,11,55,135,7,10,0.0
12,12,55,125,8,0,0.0
13,13,55,130,8,4,0.0
14,14,50,130,8,8,0.0
15,15,55,125,8,9,0.0
16,16,50,145,5,0,0.0
17,17,50,150,5,5,0.0
18,18,55,145,5,5,0.0
19,19,50,150,5,10,0.0
20,20,50,155,6,0,0.0
21,21,55,150,6,4,0.0
22,22,55,155,6,7,0.0
23,23,55,160,6,9,0.0
24,24,55,145,7,1,0.0
25,25,55,155,7,5,0.0
26,26,55,150,7,5,0.0
27,27,50,145,7,9,0.0
28,28,50,150,8,2,0.0
29,29,55,155,8,3,0.0
30,30,50,160,8,6,0.0
31,31,50,150,8,9,0.0
32,32,50,180,5,1,0.0
33,33,55,175,5,3,0.0
34,34,55,160,5,6,0.0
35,35,55,170,5,9,0.0
36,36,50,170,6,0,0.0
37,37,50,175,6,3,0.0
38,38,50,165,6,7,0.0
39,39,50,165,6,10,0.0
40,40,50,165,7,2,0.0
41,41,50,175,7,3,0.0
42,42,55,165,7,6,0.0
43,43,50,170,7,9,0.0
44,44,50,165,8,0,0.0
45,45,50,160,8,3,0.0
46,46,50,165,8,6,0.0
47,47,50,170,8,9,0.0
48,48,50,195,5,1,0.0
49,49,50,190,5,3,0.0
50,50,50,185,5,8,0.0
51,51,55,190,5,8,0.0
52,52,50,180,6,2,0.0
53,53,50,185,6,4,0.0
54,54,55,195,6,5,0.0
55,55,50,180,6,8,0.0
56,56,50,195,7,2,0.0
57,57,50,180,7,4,0.0
58,58,50,195,7,6,0.0
59,59,55,195,7,9,0.0
60,60,55,180,8,2,0.0
61,61,50,185,8,4,0.0
62,62,50,190,8,6,0.0
63,63,50,180,8,9,0.0
64,64,60,125,5,1,0.0
65,65,60,140,5,4,0.0
66,66,60,125,5,7,0.0
67,67,60,135,5,8,0.0
68,68,65,130,6,0,0.0
69,69,60,130,6,3,0.0
70,70,65,135,6,5,0.0
71,71,60,140,6,10,0.0
72,72,65,125,7,1,0.0
73,73,60,135,7,3,0.0
74,74,60,135,7,6,0.0
75,75,60,125,7,8,0.0
76,76,60,135,8,0,0.0
77,77,60,130,8,3,0.0
78,78,65,125,8,6,0.0
79,79,60,135,8,9,0.0
80,80,60,150,5,0,0.0
81,81,60,145,5,4,0.0
82,82,60,140,5,7,0.0
83,83,60,150,5,9,0.0
84,84,60,145,6,0,0.0
88,88,60,140,7,2,0.0
89,89,60,145,7,2,0.0
92,92,55,145,8,0,0.0
95,95,55,160,8,8,0.0
96,96,55,160,5,1,0.0
97,97,55,170,5,4,0.0
98,98,60,175,5,6,0.0
99,99,60,170,5,9,0.0
100,100,65,175,6,1,0.0
103,103,55,175,6,9,0.0
104,104,60,165,7,1,0.0
106,106,55,175,7,5,0.0
107,107,55,165,7,8,0.0
108,108,60,165,8,2,0.0
110,110,55,175,8,8,0.0
112,112,60,180,5,0,0.0
113,113,60,185,5,3,0.0
114,114,60,180,5,7,0.0
115,115,65,190,5,8,0.0
116,116,60,185,6,1,0.0
118,118,55,185,6,5,0.0
119,119,55,180,6,9,0.0
120,120,60,195,7,1,0.0
121,121,55,195,7,2,0.0
124,124,60,185,8,0,0.0
126,126,55,180,8,7,0.0
128,128,65,140,5,0,0.0
129,129,65,130,5,5,0.0
130,130,70,135,5,7,0.0
131,131,65,130,5,9,0.0
132,132,70,135,6,0,0.0
133,133,65,140,6,4,0.0
134,134,70,135,6,6,0.0
135,135,65,125,6,9,0.0
136,136,65,135,7,0,0.0
137,137,70,140,7,3,0.0
138,138,70,135,7,5,0.0
139,139,70,135,7,9,0.0
140,140,70,140,8,0,0.0
141,141,65,130,8,2,0.0
142,142,65,125,8,7,0.0
143,143,65,130,8,9,0.0
144,144,65,150,5,0,0.0
145,145,65,155,5,3,0.0
146,146,65,145,5,5,0.0
147,147,70,150,5,9,0.0
148,148,65,145,6,1,0.0
152,152,70,160,7,0,0.0
156,156,65,145,8,2,0.0
160,160,65,165,5,2,0.0
161,161,65,175,5,4,0.0
162,162,65,170,5,6,0.0
163,163,65,160,5,9,0.0
164,164,65,165,6,0,0.0
168,168,65,165,7,2,0.0
172,172,65,170,8,1,0.0
176,176,70,185,5,0,0.0
177,177,70,180,5,3,0.0
178,178,70,180,5,8,0.0
179,179,70,185,5,9,0.0
180,180,70,185,6,0,0.0
184,184,75,180,7,2,0.0
188,188,65,195,8,2,0.0
192,192,80,130,5,1,0.0
193,193,70,125,5,4,0.0
194,194,75,125,5,8,0.0
195,195,75,140,5,8,0.0
196,196,70,130,6,0,0.0
197,197,70,125,6,4,0.0
198,198,75,135,6,6,0.0
199,199,75,135,6,8,0.0
200,200,70,140,7,1,0.0
201,201,75,130,7,4,0.0
202,202,70,140,7,5,0.0
203,203,75,125,7,9,0.0
204,204,70,125,8,1,0.0
205,205,75,140,8,5,0.0
206,206,70,130,8,6,0.0
207,207,75,125,8,9,0.0
208,208,75,155,5,0,0.0
209,209,75,150,5,4,0.0
210,210,75,155,5,6,0.0
211,211,75,150,5,10,0.0
212,212,75,150,6,2,0.0
216,216,75,145,7,2,0.0
219,219,75,140,7,9,0.0
220,220,75,155,8,1,0.0
221,221,75,140,8,5,0.0
224,224,75,170,5,1,0.0
225,225,75,165,5,3,0.0
226,226,75,160,5,7,0.0
227,227,80,170,5,8,0.0
228,228,75,160,6,0,0.0
232,232,75,175,7,2,0.0
236,236,75,175,8,1,0.0
240,240,75,190,5,0,0.0
241,241,80,195,5,4,0.0
242,242,75,185,5,7,0.0
243,243,80,180,5,9,0.0
244,244,75,180,6,0,0.0
248,248,75,185,7,1,0.0
252,252,70,190,8,0,0.0
