Temperature,Speed,Distance,Pressure,Efficiency
0,50,125,5,0,0.0
1,50,125,5,1,0.0
2,50,125,5,2,0.0
3,50,125,5,3,0.0
4,50,125,5,4,0.0
5,50,125,5,5,0.0
6,50,125,5,6,0.0
7,50,125,5,7,0.0
8,50,125,5,8,0.0
9,50,125,5,9,0.0
10,50,125,5,10,0.0
11,50,125,6,0,0.0
12,50,125,6,1,0.0
13,50,125,6,2,0.0
14,50,125,6,3,0.0
15,50,125,6,4,0.0
16,50,125,6,5,0.0
17,50,125,6,6,0.0
18,50,125,6,7,0.0
19,50,125,6,8,0.0
20,50,125,6,9,0.0
21,50,125,6,10,0.0
22,50,125,7,0,0.0
23,50,125,7,1,0.0
24,50,125,7,2,0.0
25,50,125,7,3,0.0
26,50,125,7,4,0.0
27,50,125,7,5,0.0
28,50,125,7,6,0.0
29,50,125,7,7,0.0
30,50,125,7,8,0.0
31,50,125,7,9,0.0
32,50,125,7,10,0.0
33,50,125,8,0,0.0
34,50,125,8,1,0.0
35,50,125,8,2,0.0
36,50,125,8,3,0.0
37,50,125,8,4,0.0
38,50,125,8,5,0.0
39,50,125,8,6,0.0
40,50,125,8,7,0.0
41,50,125,8,8,0.0
42,50,125,8,9,0.0
43,50,125,8,10,0.0
44,50,126,5,0,0.0
45,50,126,5,1,0.0
46,50,126,5,2,0.0
47,50,126,5,3,0.0
48,50,126,5,4,0.0
49,50,126,5,5,0.0
50,50,126,5,6,0.0
51,50,126,5,7,0.0
52,50,126,5,8,0.0
53,50,126,5,9,0.0
54,50,126,5,10,0.0
55,50,126,6,0,0.0
56,50,126,6,1,0.0
57,50,126,6,2,0.0
58,50,126,6,3,0.0
59,50,126,6,4,0.0
60,50,126,6,5,0.0
61,50,126,6,6,0.0
62,50,126,6,7,0.0
63,50,126,6,8,0.0
64,50,126,6,9,0.0
65,50,126,6,10,0.0
66,50,126,7,0,0.0
67,50,126,7,1,0.0
68,50,126,7,2,0.0
69,50,126,7,3,0.0
70,50,126,7,4,0.0
71,50,126,7,5,0.0
72,50,126,7,6,0.0
73,50,126,7,7,0.0
74,50,126,7,8,0.0
75,50,126,7,9,0.0
76,50,126,7,10,0.0
77,50,126,8,0,0.0
78,50,126,8,1,0.0
79,50,126,8,2,0.0
80,50,126,8,3,0.0
81,50,126,8,4,0.0
82,50,126,8,5,0.0
83,50,126,8,6,0.0
84,50,126,8,7,0.0
85,50,126,8,8,0.0
86,50,126,8,9,0.0
87,50,126,8,10,0.0
88,50,127,5,0,0.0
89,50,127,5,1,0.0
90,50,127,5,2,0.0
91,50,127,5,3,0.0
92,50,127,5,4,0.0
93,50,127,5,5,0.0
94,50,127,5,6,0.0
95,50,127,5,7,0.0
96,50,127,5,8,0.0
97,50,127,5,9,0.0
98,50,127,5,10,0.0
99,50,127,6,0,0.0
100,50,127,6,1,0.0
101,50,127,6,2,0.0
102,50,127,6,3,0.0
103,50,127,6,4,0.0
104,50,127,6,5,0.0
105,50,127,6,6,0.0
106,50,127,6,7,0.0
107,50,127,6,8,0.0
108,50,127,6,9,0.0
109,50,127,6,10,0.0
110,50,127,7,0,0.0
111,50,127,7,1,0.0
112,50,127,7,2,0.0
113,50,127,7,3,0.0
114,50,127,7,4,0.0
115,50,127,7,5,0.0
116,50,127,7,6,0.0
117,50,127,7,7,0.0
118,50,127,7,8,0.0
119,50,127,7,9,0.0
120,50,127,7,10,0.0
121,50,127,8,0,0.0
122,50,127,8,1,0.0
123,50,127,8,2,0.0
124,50,127,8,3,0.0
125,50,127,8,4,0.0
126,50,127,8,5,0.0
127,50,127,8,6,0.0
128,50,127,8,7,0.0
129,50,127,8,8,0.0
130,50,127,8,9,0.0
131,50,127,8,10,0.0
132,50,128,5,0,0.0
133,50,128,5,1,0.0
134,50,128,5,2,0.0
135,50,128,5,3,0.0
136,50,128,5,4,0.0
137,50,128,5,5,0.0
138,50,128,5,6,0.0
139,50,128,5,7,0.0
140,50,128,5,8,0.0
141,50,128,5,9,0.0
142,50,128,5,10,0.0
143,50,128,6,0,0.0
144,50,128,6,1,0.0
145,50,128,6,2,0.0
146,50,128,6,3,0.0
147,50,128,6,4,0.0
148,50,128,6,5,0.0
149,50,128,6,6,0.0
150,50,128,6,7,0.0
151,50,128,6,8,0.0
152,50,128,6,9,0.0
153,50,128,6,10,0.0
154,50,128,7,0,0.0
155,50,128,7,1,0.0
156,50,128,7,2,0.0
157,50,128,7,3,0.0
158,50,128,7,4,0.0
159,50,128,7,5,0.0
160,50,128,7,6,0.0
161,50,128,7,7,0.0
162,50,128,7,8,0.0
163,50,128,7,9,0.0
164,50,128,7,10,0.0
165,50,128,8,0,0.0
166,50,128,8,1,0.0
167,50,128,8,2,0.0
168,50,128,8,3,0.0
169,50,128,8,4,0.0
170,50,128,8,5,0.0
171,50,128,8,6,0.0
172,50,128,8,7,0.0
173,50,128,8,8,0.0
174,50,128,8,9,0.0
175,50,128,8,10,0.0
176,50,129,5,0,0.0
177,50,129,5,1,0.0
178,50,129,5,2,0.0
179,50,129,5,3,0.0
180,50,129,5,4,0.0
181,50,129,5,5,0.0
182,50,129,5,6,0.0
183,50,129,5,7,0.0
184,50,129,5,8,0.0
185,50,129,5,9,0.0
186,50,129,5,10,0.0
187,50,129,6,0,0.0
188,50,129,6,1,0.0
189,50,129,6,2,0.0
190,50,129,6,3,0.0
191,50,129,6,4,0.0
192,50,129,6,5,0.0
193,50,129,6,6,0.0
194,50,129,6,7,0.0
195,50,129,6,8,0.0
196,50,129,6,9,0.0
197,50,129,6,10,0.0
198,50,129,7,0,0.0
199,50,129,7,1,0.0
200,50,129,7,2,0.0
201,50,129,7,3,0.0
202,50,129,7,4,0.0
203,50,129,7,5,0.0
204,50,129,7,6,0.0
205,50,129,7,7,0.0
206,50,129,7,8,0.0
207,50,129,7,9,0.0
208,50,129,7,10,0.0
209,50,129,8,0,0.0
210,50,129,8,1,0.0
211,50,129,8,2,0.0
212,50,129,8,3,0.0
213,50,129,8,4,0.0
214,50,129,8,5,0.0
215,50,129,8,6,0.0
216,50,129,8,7,0.0
217,50,129,8,8,0.0
218,50,129,8,9,0.0
219,50,129,8,10,0.0
220,50,130,5,0,0.0
221,50,130,5,1,0.0
222,50,130,5,2,0.0
223,50,130,5,3,0.0
224,50,130,5,4,0.0
225,50,130,5,5,0.0
226,50,130,5,6,0.0
227,50,130,5,7,0.0
228,50,130,5,8,0.0
229,50,130,5,9,0.0
230,50,130,5,10,0.0
231,50,130,6,0,0.0
232,50,130,6,1,0.0
